tick,day,cost_of_goods,opinion_mean,opinion_std,opinion_min,opinion_max,disposition_mean,disposition_max,count_quiet,count_agitated,count_flight,count_protest,count_riot,count_mob,count_employed,count_unhoused,avg_connections,homophily
1160,230,102.69051678346366,0.09693582628627702,0.7101944187044871,-0.9247443447993456,0.9772388260149213,0.12964335587103726,0.7104807532302645,2,13,34,1,0,0,44,6,6.84,0.9514963660831284
1161,231,102.69051678346366,0.09605057522667443,0.6981457614831125,-0.8974771954739561,0.9661202530791182,0.1826164966713523,0.7346002357256364,2,9,35,1,3,0,44,6,6.84,0.9487324518545308
1162,231,102.69051678346366,0.09605057522667443,0.6981457614831125,-0.8974771954739561,0.9661202530791182,0.1842396308829918,0.7469515342740737,0,10,37,2,1,0,44,6,6.84,0.9487324518545308
1163,232,102.69051678346366,0.09706545473108989,0.6962538911952479,-0.8965248064399682,0.977253211427991,0.1613337927978097,0.7443077936092378,0,11,37,2,0,0,44,6,6.84,0.9499820283315702
1164,232,102.69051678346366,0.09706545473108989,0.6962538911952479,-0.8965248064399682,0.977253211427991,0.12913435172701965,0.6529379370473449,1,12,36,1,0,0,44,6,6.84,0.9499820283315702
1165,233,102.69051678346366,0.0973996313246156,0.705185502056606,-0.963805815739166,0.9903477772818325,0.13342499352819176,0.47446604339336107,0,12,37,1,0,0,44,6,6.84,0.9480887212291497
1166,233,102.69051678346366,0.09831954994401909,0.6875774790255433,-0.9570103994910246,0.9780615553719256,0.209513111266355,0.7805736954498828,1,8,36,2,3,0,44,6,6.84,0.9492926860072155
1167,234,102.69051678346366,0.09717390035819914,0.6895931358543737,-0.9570103994910246,0.9547632363389493,0.2165204271412037,0.7675300495501673,0,8,37,3,2,0,44,6,6.84,0.9514214897402108
1168,234,102.69051678346366,0.09717390035819914,0.6895931358543737,-0.9570103994910246,0.9547632363389493,0.20500650400217194,0.7541209486251652,0,8,37,3,2,0,44,6,6.84,0.9517528626838276
1169,235,102.69051678346366,0.09773674560842636,0.6917115143967135,-0.9867254846241974,0.9547632363389493,0.1861543446675829,0.727873281432539,0,7,40,3,0,0,44,6,6.84,0.9508932220748557
